text,label
سبحان الله تدري اذا ذكر اسم الخنزير نذكر خنازير الضاحية وهم يتبركون بالغطس في الطين كالخنازير ..,1
لا عمري ماهقتنع بده هفضل مقتنعه ان التحرش سببه قذاره الذكر وع فكره فيه ولا…,0
ههههههههه الطائره بدون طيار ما تحتا مطار ....باين علموش بول البعير وتأثيره باين ...,1
متقلين السكرة بشرب بول البعير,1
جايه بفستانها وتستلم جايزة افضل لاعبة خربوا الكورة الحريم والله,1
مارتا كريستيانو فرع الحريم,1
تضحك على الحريم وتعطيهم رمث,1
معتقدش العشم يؤهل اي بني ادم وسخ انه يتعامل بقلة ذوق مع بني ادم تاني يعني,1
مقابل المال يبيع اهله لاغرابه ابدا ذا الاشكال اراقوزات لا اكثر خنازير متناقضه لاشرف مهنه ولا…,0
عاد الحريم اول ناس راح يوافقون عالاقتراح,1
لو تفكرون فيها فكرة الكرتون منحرفة، تخيل دكتور طفش و قال بسوي لي ثلاث بنات صغار يعيشون معي,1
كلامي لبنات حاطه صوره بنت متبرجه أو عارية,1
تبقاي بايرة طول عمرك,1
نار في كل بيت يتولع فيك بجاز وسخ,1
هاذا الخنزير ابن الكلب الدويله وين حكومته عنه معقول هاذا جزاء المعروف يتكلم عنكم خنزير وسخ قذر خسيس وينكم يا اهل الكويت وينكم وينكم,1
هذا الترقيع لا ينفع، الدين المجوسي إنفضح وكشف ستره وأصبح الصغير قبل الكبير يعرف أنهم على ملة…,1
من كلام الناس وعيون : الحريم,0
متحنش لحد باعك يا وسخ,1
الصراع الأخير المتكرر بتاع التحرش ده محتاج وعي من الطرفين، الطرف الماسك طرف الدين و شايف انو الأمر الإ…,0
واقول: ما يطلبه اللاجئون حق طبيعي مكتسب بمو…,0
برااااااااااااا يا خنازير,1
مهما حصل هندوس عليهم شويه الرويبضه بس نخلص اللائحه الاساسيه ونفوقلهم,1
كل الحريم كدة,0
على كثر ما الجملة جارحة نوعا ماً لمن تم التحرش بهم إلا أنها فيها شي من الصحة -من التجربة الشخصية على الأقل- ، الشي…,1
والله معاليكم ماراح تلحق على طلبات الشكائين البكائين طلبات الحريم ماتخلص,1
انتوا الحريم تحبون المشاكل الله يجيرنا منكم,1
أنت تروّج لشخصيات منحرفة بداعي أنها أحسنت في جزئية ما!! وماذا عن بقية سيرت…,0
الزق اللي أنت تمدح بيلعب السهلاوي الزق الثاني وزق عليك وعلي اللي أتابعك تفووووووو يا خنزير,1
محمد سعد عبدالحفيظ .. عضو مجلس نقابة الصحفيين .. تم الاعتداء على الصحفيين بالضرب والشتم .. و تم التحرش بزميلة !!!!!…,1
وادي وسخ بعد ماطردناه من مصر رايح يتمسح في بلد تانيه!!...,0
لعنت الله علي محمد الهاشمي وفيصل القاسم كلهم خنازير قطر واعداء الاسﻻم والمسلمين,1
لاجيت أعاتبك طيّحت الحطب كله,0
ممكن تعطينى دليل واحد من كتبك او من علمائك على حرمة اوكراهية شرب بول البعير ....,1
ويجي الكلب الجبان الخنزير اللي من الciaأو أي خنزير يهودي آخر يعملي بلوك في الفيس بوك علشان قلت حقيقتهم يكفي حقارتهم…,1
نصيحة لوجه الله..بلاش تعمل ريتويت لواحدة متبرجة..,0
ماشالله البث للآن ماقطعو مدري هو دا الفريق السعودي الوحيد ونحن يهود ولا هندوس ولا ايش الهرجة بالزبط,0
رعاة الغنم دول، شاربي بول البعير,1
شي طبيعي قناة خنازير #الجزيرة_تطعن_بالقران_الكريم,1
#في_بلادك_تقدري يكونوا عندك اهداف اهم من الزواج و الانجاب، بلا ما يقولولك حابة تبقاي بايرة!!!!,0
خنازير مانشستر فريق حزين فشخ :d,1
اولا الشيعي سيدك يا شارب بول البعير وتتحدث عن صورة فوتو شوب يا موضوع على لائحة العار وكل المنظمات الحقوقية وصفت أفع…,1
ووش دخل لقفك النتن انت هنا ووين نتكلم سعودي قصو لقفك ولسانك ي بول البعير,1
الا الحريم,0
قربت نهايتك ي خنزير مران,1
حاسه اني أرملة او مطلقة او بايرة حاجة في الرينج دا مش فاهمة,0
لعنكم الله يا خنازير ايران #الحوثي_ينتهك_القانون_الدولي,1
إنقلع والله مافيه إلا الضعوي والخراط في رأسك ي خنزير . الخلى بس الخلى .,1
اليتبقي فحل في العين من الحريم توصل في خاص,1
منو قال هذا اكيد واحد لاعنين خيره الحريم,1
هاض نفط العرب و انتن يا شرّابين بول البعير ما إلكون منة,1
وين الابداع بالردود وين التحرش اللي على اصوله وين المناشب عالطالعه والنازله شفيني راكد وامشي جنب الحيط,1
لو كانت في دوله غير مصر انا موافق ، لكن في مصر خد عندك اول حاجه لو مسكك امين شرطه ولا ظابط وسخ حايشت…,0
انا عايزك تشرب بول البعير وتنام هتصحى زي الفل متقلقش واقرأ بس عن ابراهيم باشا الي قضى علي الدوله السعوديه ١٠٠سنه,1
طائرة اف بول البعير 1,1
أجل نحن بدو ونشرب بول البعير؟!!!على الأقل انسانيين أكثر بمليون مرّة من مدّعيي الثقافة والتحضّرسفوووخس.,1
بداية حديثك عن التحرش بنبره هادئة له أثر طيب في نفس كل من يرفض هذا السلوك المشين وسقطه اخلاقيه…,0
يا كلب يا خنزير تراقب مكوة امك القحبه وانت يا كلب فرحان,1
الحريم هم اللي يتوزون ورا التركي والايراني عشان يحمون نفسهم,1
محد مصدقك إلا كل خسيس وعميل وحاقد ليس على السعودية فحسب بل على العرب والمسلمين وكل من تربى مع خنازير ومجوس ويهود,0
كيف لشارب بول البعير أن يحلل ويفهم. . جميع الحدود اليمنية تحت سيطرة التحالف ويجيك واحد غمش ويقول ع…,1
هقولك ايه . شارب بول البعير فعلا,1
والله ما اوسخ من اليهود غير الاخوان كلكم عيال كلب انجاس خنازير مالكم امان غدارين خونه منافقين كذابين,1
اي قانون التحرش لعب بهم,1
على مهلك خدينك بحلمك لوين يا رامز لجوا له ولي لبرا بتاخدا وبتكزدرها وسنفرلو عل السنفريان ،وصل بول البعير…,1
مافي خنزير غير تفكيركم يبنات الكلبب!!!,1
كسي ينبض عاهرة منحرفة مص لحس مطلقة مولعه ليز ليزبيان س…,1
وانا اعرف أنكم تشربون من بول البعير وتأكلون الضب واكتر شعب لوطى وأنكم شعب بدوى تر…,1
بنات بلادي حابين يرفعوا النسبة لل 15 مليون بايرة ياي لازم يتزوج 23 ويعاود في 30 كشما ينقص ضغط,1
نصيحتنا لكم لا تتعبون أكثر .. معانا بايره جداً تجارتكم,1
أنا عارف أن الحريم بجايات وبسرعه يزعلون ، فإذا شفت وحده على خطأ لا تقدم لها نصيحه ..,0
والحصاله الي ع شكل خنزير,0
ي بول البعير شنو يعني عبد !!!,1
بعمركم ما راح تدوقوا بول البعير لأنكم تعودتوا علي بول الحمير,1
يا شرق سلوي.... اتقي الله يعني اذا كان زعمائك خنازير وكلاب مش قادرة تصدقي هالحكي،،،،، والله انا فلسطين…,1
شاربي بول البعير اللي تنتقدهم منهم الرسول والصحابة وهم اللي عرًبوك وعلموك دينك وهم اللي اقاموا…,1
قوووووووووول خنازير افرح يا المو,1
والحريم مع الحريم .. عناد شي ما صار ..!!,1
دكتور بيطري تخصص خنازير,1
فلان باير يعني كسلان,0
اي والله كلاب خنازير ماينفع معهم الاالشبك اكرم الله المتابعين الشرفاء فقط,1
بول البعير ولا مجاري اسرائيل,1
التاسعة إن شاء الله #افريقيا_يا_اهلي,0
#في_بلادك_تقدري تعيشي بلا ما تسمعي : عورة ، بلاصتك فالكوزينة ، مسطاشة ، عاهرة ، بايرة ...,1
موتوا بغيظكم يا خنازير قطر.,1
والله هذه مبادئكم من عهد عبدالرحمن بن سعود رحمه الله التحرش بالاندية وصنع عداوات في كل مكان والتش…,0
اخس يا المطوع تعيد تغريد فيديو لمرأة متبرجة تظهر سرته…,1
لو ما عاجبتك عندك ١٠٠٠ قناة عربية تتكلم عن فوائد شرب بول البعير و لقاءات مع شيوخ على…,0
حكومتنا باعت المواطنيين وشرت خنازير الجزيرة الي شوهوا سمعة القطري وبلادنا أمام العالم والعجيب يتكلمون بسمنا ونعطيهم فلوس,0
هم اللى بيحوروا المواضيع .. تتكلم عن الأمن يقول لك امنعوا المتبرجه.. طيب ده دخله ايه ب…,1
مين ليش عم يحسب حسابكم يا خنازير صهاينة وهل ترون انتى من العربان,1
و بعدين ده لسه عيل معندوش خبرة التعامل مع الحريم,1
انا كرهت صنف الحريم دا كله بلا استثناء والله .,0
شوف مادام وانت تشرب بول البعير معناتها ضياع وتحتاج لك وقت حتى تصبح شبه راج…,1
لا مادخل الفلوس وسخ دنيا رغم انها حلوه وتقضي حوايجك بس لوكان شي عزيز علي جوه لا ادخل وماهمني اموت اول…,0
بول البعير مؤثر فيكم اي استشهاد وانتم تقتل النساء والاطفال من الجو وتفرون في ميادين المعركة فتحتم جهنم,0
بربر اختك يا شارب بول البعير. تونس تشرفك وتعرفك يا جاهل يا وهابي,1
لانكم عملاء خنازير خونه اعداء للامه والإسلام,1
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا…,0
___ أنقطع وصله ولا أدريّ ويش حده والله أن فقده من كبار الخساااير / وديّ أعرف من وقف ضديّ وضده العواذل بايره والوقت باااير ..,1
المشكله اكثر الحريم زوجناهم مسيار,0
ربنا يولع فيكى ب جاز وسخ يااوسخ شخصية ف العالم,0
وانت يا دعدوع هل انت وهابي متحضر أو وهابي متخلف عقليا كأسيادك ال سلول شاربي بول البعير,1
