text,label
les commentaires en bas de tous les renois psq il dit le n-word j’aimerai que tous les asiat fassent pareil quand…,1
rennes ....ville gauchiste depuis 1977 sans interruption,0
#franceculture c'est un plouc votre réalisateur faucon. d'une platitude déconcertante son scénario gauchiste ringard déjà vu 1000 fois.,1
rien à voir avec le terrorisme et l'islam puisqu'il est déséquilibré... circulez ya rien à voir #soumission,1
l’islam aussi pris source en arabie du coup je ne sais pas si ça annule l’assertion du terrorisme ? com…,1
y’a bcp de renois quand mm parmi ces folles,1
cali ce con insupportable qui fait tjrs des esclandres sur les plateaux télé est gauchiste jusqu'au bout des d…,1
tu fais partie de la génération qui croit que les rebeus ont inventé le funk?,1
mdr en rien je crache sur communauté c’est juste les seuls fois où je vois les meuf renois sur twi…,1
le problème des migrants c'est comme un moustique sur un testicule la violence ne sert à rien...,1
vu qu'aujourdhuit les extremiste ne peuvent plus dire sale arabe ou noir les extremiste disent jai…,1
pays attardé.,1
ptn cette violence de la question mdr,0
et évidemment pas capable de m'envoyer un lien pauvre attardé random congénital. maintenant…,1
/o je sais pas. je comprends pas. j'en ai marre. va encore se reprendre toute cette violence dans la gueule. #lassitude,0
êtes vous pour ou contre l’avortement ?,0
gauche anti religieuse en général ou extreme droite anti islam tout court (pou…,0
crisse avec quelle argent tu va faire crisse de mongol!!!,1
je joue à pubg depuis sa sorti petit mongol 0 rapport pubg comme tout les jeux avec des sk…,1
l'afrique est désertique,1
g un prof d’eco doctorant et chercheur il sorti des 10aines de livres dirait un attardé qd il parle,1
ferme ta grande gueule une deuxième fois si tu voulais parler à ta sale arabe de copine fallait la mentionner elle et pas moi.,1
t’a laisser le cheval attardé devant moi.,1
recette pour la montée de l'extrême droite faites entrez beaucoup de migrants en même temps échouez leur intégrat…,1
perso m'a déjà dit que j'étais un sale arabe et un sale blanc... du coup je suis du-per!,1
marianne soubret des œillères! rien qu’à nantes 700 migrants évacués et à loger!,0
il des millions de morts de la famine chaque annee mais tu veux laisser pourri...,0
ton type de gars? — les renois,1
je fais du stop 22h je retrouve entre 4 renois fumer du shit,1
bon anniversaire attardé mental de kiki,1
il adore les rebeus !,1
daniel cohen que feu jacques marseille conseillait de lire ses étudiants... un gauchiste bien connu,1
us #pittsburgh 11 morts dans l’attaque de la synagogue #treeoflife assaillant arrêté un néo nazi complotiste anti…,1
en gros sur twitter tu dis t’aimes les renois mais tu vas au ciné avec des blanches au final enfin bl…,1
Ça sent le prépubère gauchiste de 60kg tout mo…,1
ils vivent comme en afrique d…,1
je l’aime mais bordel qu’est ce qu’il est mongol,1
rt le ministre parle d'interdire les portable au lycee vieux reflexe de gauchiste cache la poussiere sous le tapis pour,1
supprime photo jveu pas que mongol d’abo posent leurs yeux sur moi,1
tu clash les renoi mais tu les suces tellement que t'en un en pdc mdrrr sale pute d'hypocrite les blanc…,1
allez ferme ta vieille chatte sale gros mongol,1
je m'étais jamais trop attardé sur le manga mais waouh les chara-design sont vraiment différents. je le savais un p…,1
je vais passer pour un attardé mais j arrive pas lancer le chargement apres l avoir obtenu fait comment ?,1
mon petit frère qui raconte qu'un russe à dit sale arabe à un garçon du collège,1
donc sale arabe est-ce une injure ou une simple constatation ?????,1
c'est dingue ce terrorisme intellectuel! vous avez le même prénom certes mais…,0
